,../docs/aaac/problemD/Dsample01.txt,Correct: AuthorD01
,../docs/aaac/problemD/Dsample02.txt,Correct: AuthorD02
,../docs/aaac/problemD/Dsample03.txt,Correct: NONE
,../docs/aaac/problemD/Dsample04.txt,Correct: AuthorD03
AuthorD01,../docs/aaac/problemD/Dtrain01-01.txt,
AuthorD01,../docs/aaac/problemD/Dtrain01-02.txt,
AuthorD01,../docs/aaac/problemD/Dtrain01-03.txt,
AuthorD01,../docs/aaac/problemD/Dtrain01-04.txt,
AuthorD01,../docs/aaac/problemD/Dtrain01-05.txt,
AuthorD02,../docs/aaac/problemD/Dtrain02-01.txt,
AuthorD02,../docs/aaac/problemD/Dtrain02-02.txt,
AuthorD02,../docs/aaac/problemD/Dtrain02-03.txt,
AuthorD03,../docs/aaac/problemD/Dtrain03-01.txt,
AuthorD03,../docs/aaac/problemD/Dtrain03-02.txt,
AuthorD03,../docs/aaac/problemD/Dtrain03-03.txt,
AuthorD03,../docs/aaac/problemD/Dtrain03-04.txt,
